start,end,text
240040,241100," just as important,"
241100,244420," called reinforcement learning with human feedback. Workers"
244420,247500," flag unhelpful or problematic predictions,"
247500,250700," and their corrections further change the model's parameters"
250700,250860,","
250860,253980," making them more likely to give predictions that users"
253980,254620," prefer."
255260,258180," Looking back at the pre-training though, this staggering"
258180,260220," amount of computation is only made"
260220,261260," possible by using a large number of different models that"
261260,261260," can be used in the training process."
261260,261620," Some of these models can be used in the training process by"
261620,262220," using special computer"
262220,265570," chips that are optimized for running many, many operations"
265570,267900," in parallel, known as GPUs."
267900,271670," However, not all language models can be easily parallelized"
271670,273740,". Prior to 2017,"
273740,277090," most language models would process text one word at a time."
277090,277740," But then,"
277740,280810," a team of researchers at Google introduced a new model"
280810,284300," known as the Transformer. Transformers don't"
284300,287620," read text from the start to the finish. They soak it all in"
287620,290700," at once, in parallel. The very first step"
290700,294840," inside a Transformer, and most other language models for"
294840,295820," that matter, is to associate each word"
295820,298760," with a long list of numbers. The reason for this is that"
298760,300940," the training process only works with"
300940,304480," continuous values, so you have to somehow encode language"
304480,307100," using numbers, and each list of numbers"
307100,310870," may somehow encode the meaning of the corresponding word."
310870,312780," What makes Transformers unique is their"
312780,316860," reliance on a special operation known as attention. This"
316860,319900," gives all these lists of numbers a chance to"
320140,323500," talk to one another, and refine the meanings they encode"
323500,326300," based on the context around, all done in"
326300,330080," parallel. For example, the numbers encoding the word ""bank"""
330080,332220," might be changed based on the context"
332220,335320," surrounding it, to somehow encode the more specific notion"
335320,338300," of a riverbank. Transformers"
338300,341740," typically also include a second type of operation, known as"
341740,343980," a feed-forward neural network, and this"
343980,346780," gives the model extra capacity to store more patterns about"
346780,348620," language learned during training."
349580,352160," This data repeatedly flows through many different"
352160,354940," iterations of these two fundamental operations,"
354940,358710," and as it does so, the hope is that each list of numbers is"
358710,361100," enriched to encode whatever information"
361100,364420," might be needed to make an accurate prediction of what word"
364420,367580," follows in the passage. At the end,"
367580,370990," one final function is performed on the last vector in this"
370990,373420," sequence, which now has had a chance to be"
373420,376340," influenced by all the other context from the input text, as"
376340,379020," well as everything the model learned during training:"
379020,383220," to produce a prediction of the next word. Again, the model"
383220,385500,"'s prediction looks like a probability"
385500,389900," for every possible next word. Although researchers design"
389900,391820," the framework for how each of these steps"
391820,395010," work, it's important to understand that the specific"
395010,397180," behavior is an emergent phenomenon"
397180,400280," based on how those hundreds of billions of parameters are"
400280,402780," tuned during training. This makes"
402780,405780," it incredibly challenging to determine why the model makes"
405780,408460," the exact predictions that it does. What"
408460,411220," you can see is that when you use large language model"
411220,413580," predictions to auto-complete a prompt,"
413580,416820," the words that it generates are uncannily fluent,"
416820,419100," fascinating, and even useful."
425500,427570," If you're a new viewer and you're curious about more"
427570,428300," details on how"
428300,431060," transformers and attention work, boy do I have some"
431060,432220," material for you!"
432220,435040," One option is to jump into a series I made about deep"
435040,437900," learning, where we visualize and motivate the"
437900,440860," details of attention and all the other steps in a"
440860,443500," transformer. But also, on my second channel,"
443500,446000," I just posted a talk that I gave a couple months ago about"
446000,448860," this topic for the company T&G in Munich."
448860,451370," Sometimes I actually prefer the content that I make as a"
451370,453500," casual talk rather than a produced video,"
453500,463310," but I leave it up to you which one of these feels like the"
463310,467340," better follow-on."
467340,469410," If you liked this video, be sure to give it a thumbs up,"
469410,477340," and I'll see you in the next one!"
